
build/at01.blastn
Chr1 258940 259094 similar to Chr1|AT1G01690.1|+|249141-249306,249543-249693,249774-249930,250017-250151,250536-250588,250669-250863,251004-251066,251143-251184,251260-251316,251399-251440,251539-251594,251680-251827,251922-252006,252121-252462|
Chr2 32314 32611 similar to Chr4|AT4G00140.1|-|51166-51464,52320-52523,52760-52859,53279-53449|
Chr2 35248 35545 similar to Chr4|AT4G00140.1|-|51166-51464,52320-52523,52760-52859,53279-53449|
Chr2 65970 66267 similar to Chr4|AT4G00140.1|-|51166-51464,52320-52523,52760-52859,53279-53449|
Chr4 99412 99447 similar to Chr4|AT4G00280.1|-|122409-122523,122651-122712,122813-122851|
Chr5 238998 239988 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 240757 241002 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 235550 235761 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 236658 236862 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 237996 238186 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 236411 236595 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
Chr5 235273 235449 similar to Chr4|AT4G00020.1|-|3895-4172,4265-4438,4545-4749,4839-4901,4977-5119,5406-5588,5657-5855,6605-6676,6760-6871,6975-7056,7144-7194,7294-7375,7453-7638,7712-7834,8001-8155,8244-8368,8463-9437,9686-9847,9982-10125,10211-10455|
